cells,avg_pi,sd_pi
42246,0.0221058755090169,0.0148427583736743
42246,0.00380952380952381,0.0019047619047619
42246,0.00535217298223079,0.00508968856934077
42246,0,0
42246,0.000779727095516569,0.00100662335184078
42246,0,0
42246,0.00236406619385343,0.00204734138010506
42246,0.00251098556183302,0.00217457728508334
14817,0.00464576074332172,0.00284493582204783
42246,0.0104347826086957,0.00173913043478261
28535,0.00382128159905938,0.00303774501652294
24392,0.0144581695676586,0.0042162611295065
24392,0.00798035604665439,0.00150367694461828
16660,0.00460564191134139,0.00398860289595596
14817,0,0
24392,0.00575815738963532,0.00271442142490037
14817,0.000868055555555556,0.000950907217890913
10483,0.00690846286701209,0.00598290434393395
10483,0,0
28535,0.00117577895355673,0.00101825444301521
14817,0.00810536980749747,0.00455277119692461
24392,0.00115740740740741,0.0010023442173431
24392,0.00122324159021407,0.00105935829209106
24392,0,0
24392,0.00236406619385343,0.00204734138010506
24392,0.0156156156156156,0.00924612871972412
24392,0.00123456790123457,0.000956292184248745
14817,0.0023028209556707,0.00199430144797798
16660,0.00126023944549464,0.00109139937464958
14817,0,0
14100,0.0150966183574879,0.00385312481610202
14100,0.00087719298245614,0.000960916767552923
14100,0.00193798449612403,0.00122568901556914
16660,0.0150305449706647,0.0255138993704396
16661,0.00446859903381642,0.00203888200677948
10483,0.00181159420289855,0.00120772946859903
10483,0.00156412930135558,0.00119462348669339
10483,0.000753295668549906,0.000972500526354656
16660,0.000905797101449275,0.000992251009973127
28535,0.00242865816636308,0.00210327966917896
28535,0.0202020202020202,0.0159766246699332
13028,0.0106382978723404,0.00772854422613595
