cell,latitude,longitude,median.pi.avg,median.pi.sd,median.pi.skew,mean.pi.avg,mean.pi.sd,mean.pi.skew,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,shannon.avg,shannon.sd
3701,-2039184.50654605,14030938.3878051,0.0017020636369869694,7.496526892738459e-4,0.8796103884835891,0.002272311851162378,7.407813972471203e-4,0.5225418434481418,0.002154478778442082,8.341514205409893e-4,10,0,6.626364306445007,1.1052836101012562,5.601465684647106,1.1967879295065067,1.875881051201057,0.17905885979712582
3708,-1965665.21425182,16123918.7790076,7.585226239375844e-4,3.0580086504096e-4,-0.02144490702879022,9.727203662494063e-4,3.190662585893413e-4,0.40040671061878097,9.814578845355993e-4,3.760594546625182e-4,10,0,6.13335583587384,1.279471938294676,5.319754207407322,1.320041686439259,1.790225408737499,0.22283571259745344
3722,-2115640.92688754,-14610338.5007118,7.823039141135249e-4,8.05303087958201e-4,1.211037204385419,0.0017791149365738715,8.734981262484101e-4,0.672935806359269,0.002478581409375982,0.001114103902903334,10,0,4.244825726620769,1.274825235543649,3.6376574823602508,1.1759299452505152,1.3958514632887224,0.3279874297227501
3748,-2098188.92305137,-6589955.04936808,0.002098965439949012,0.0012805073092686712,2.201203021464301,0.003381007815956972,0.0012583697741352772,0.5650809708352974,0.003804330399085297,0.001385595611914874,10,0,6.062442335564414,1.0377366344911614,4.773853638628915,1.1552839164851536,1.787137560828414,0.1747320574885962
3749,-2147649.71859652,-6336446.99663688,0.0019569042129002844,0.0011141806594923201,0.7841755232491686,0.0025616825230307936,8.04487041544252e-4,0.33572187755987987,0.0025007246600229583,5.72145914659385e-4,10,0,5.976295541134406,1.1592950387461642,5.253173309161386,1.1353610434090289,1.7676433832702214,0.2055962732114755
3750,-2274754.30366668,-6204067.82013265,0.0022187612986511247,6.966120017725559e-4,1.20434322594517,0.0026960174670132763,6.509105474929908e-4,0.2643210880469195,0.0020077881367657384,5.920760413358127e-4,10,0,7.6168530519166415,0.916158416308013,6.654908690197732,1.0372141882255255,2.0225798113215308,0.1276814893951276
3757,-2238060.49544058,-4033319.48704798,0.0011915697166614255,5.539195915289286e-4,-0.14895582859187653,0.0011706921007581304,2.987464758536492e-4,0.050220349310014255,9.295455521416875e-4,1.3377397294018557e-4,10,0,6.386947970014688,1.4338598531328497,6.1489202221730865,1.378365928266631,1.8268044827303322,0.24100482239283819
3781,-2166321.64103424,3227466.07439249,0.0014162248738000083,5.831427436412673e-4,-0.2452383903879779,0.0015615862912528172,4.1858767608118783e-4,0.14137186391529455,0.0013094191880225873,3.046279100029203e-4,10,0,6.624297219156354,1.243552781759606,6.006445666864304,1.2127203359604615,1.8713023707400964,0.20356160739527449
3784,-2143864.69285357,4121990.37859855,3.9954563943370223e-4,3.0852382680190206e-4,0.985828489667577,8.80191171719532e-4,4.910714639164933e-4,0.7923360772247834,0.0013511110588445606,7.130590407410194e-4,10,0,4.140955922092188,1.2472710646055527,3.5094932188284065,1.3553637921765305,1.3732462056734025,0.3175246136900696
3785,-2262853.75763554,4250317.13133224,0.003378054279957534,0.001720238962610208,0.8409289723922838,0.005551244144989602,0.00249582186493526,0.9008717657209641,0.006935598561510715,0.003767716244804137,10,0,5.517648242722064,1.336216380585779,4.508777430508944,1.419504826882458,1.6765332995894955,0.25738150680139654
3786,-2128351.91221773,4813411.06287648,0.003049218125034045,0.001794708809728273,1.322883249258246,0.005244938328175613,0.0021913866570701696,0.8103249036149901,0.00628467591940594,0.002972973834365067,10,0,5.570481239069394,1.1891263098924927,4.525183852867839,1.1961940701269411,1.692204790597044,0.23267765470593815
3810,-2249245.2190147,11796412.6234746,0.0022132881495990895,6.671221996313434e-4,1.6705861919346021,0.002766433717409487,7.468397797079437e-4,0.5037570065998282,0.002270246129037722,6.940411814020222e-4,10,0,7.345346704074083,0.9122811730016005,6.24465686174062,1.0519662822058204,1.985958239589976,0.1294517781358146
3817,-2101210.6095355,14041937.8237537,0.001629311696658996,6.288722540934166e-4,0.5365802221400107,0.0022992353712490876,8.736764154898431e-4,1.0169146065002532,0.0024332988033232868,0.0013660903511502488,10,0,6.332568494960972,1.2225236778222213,5.289687239961691,1.351543222343561,1.825460882960279,0.20669256925347704
3828,-2273904.47980192,17198679.4547223,9.760101907825806e-4,5.79854115269229e-4,1.5832272515475156,0.0031070702980674223,0.002262436080104842,1.019433486308011,0.005446640217889081,0.004322251705784396,10,0,4.565044516871129,1.6578325510626108,3.5937071490925407,1.6203845614642187,1.4487646505515561,0.380672660468885
3864,-2461609.20540212,-6673956.00495451,0.004374478628077336,0.0034653523394115727,6.223978978168835,0.009435937848301957,0.004265462439272231,0.49523942003460797,0.01238850724275038,0.004945003336746298,10,0,5.479557146045064,1.292584611948218,4.154829110501474,1.4607544276190483,1.6755169299749284,0.22210042862204513
3866,-2478926.43635267,-6165859.25315329,0.002901232783840485,0.001058472260848442,1.5105068556279049,0.004555363276063832,0.0020879040111304887,1.144423105892947,0.0050979823973456295,0.003837545549879273,10,0,6.739177702789743,1.4907328157477993,5.524562413493019,1.763133946705113,1.880614020842219,0.24110097609327283
3868,-2585134.71428508,-5486287.08409018,0.001922317091145107,0.0011237626573379913,1.934751120255673,0.0026447541807816197,6.903331208227352e-4,0.45326962285037115,0.0021446301598981522,4.435136518460323e-4,10,0,7.5168240619632085,0.5892280744265949,6.215038711670523,0.8433843727239824,2.014120045407773,0.07758720160145247
3870,-2443072.57754358,-4858180.69691289,0.004934747112743733,0.0012307082378259662,0.8154518332143476,0.005228243480514699,9.706812903506036e-4,0.013284535590624652,0.0032048601644697437,6.617298772787415e-4,10,0,8.023333955186747,0.9267046293782668,7.372107806872465,0.958753247443465,2.0751423626376773,0.12289640518707254
