"","V1"
"1306",1420765
"1307",9501293
"1308",3193042
"1309",3193040
"1310",4275399
"1311",5752377
"1312",8020115
"1313",2385336
"1314",2385353
"1315",2219879
"1316",4315708
"1317",5194023
"1318",2209413
"1319",2306710
"1320",8397951
"1321",2076486
"1322",2324001
"1323",2074499
"1324",2591647
"1325",5225494
"1326",4433030
"1327",7878882
"1328",2246541
"1329",4372055
"1330",4372070
"1331",2448980
"1332",2449133
"1333",2449051
"1334",5094395
"1335",1537580
"1336",2387155
"1337",2387143
"1338",2387157
"1339",4284921
"1340",2391520
"1341",2406374
"1342",5270682
"1343",8357882
"1344",8156367
"1345",7780454
"1346",1366036
"1347",4647366
"1348",2225629
"1349",4307421
"1350",2225631
"1351",2225632
"1352",5422039
"1353",5959222
"1354",2415215
"1355",2397527
"1356",5207977
"1357",2164198
"1358",4314683
"1359",6460946
"1360",9746127
"1361",5167813
"1362",9533689
"1363",1032220
"1364",2441905
"1365",2498165
"1366",2498162
"1367",2498160
"1368",2498046
"1369",8149099
"1370",3083838
"1371",4417558
"1372",4648604
"1373",2007622
"1374",1883226
"1375",1043491
"1376",1043498
"1377",4452277
"1378",2406485
"1379",5219944
"1380",2086740
"1381",2226639
"1382",2413687
"1383",1420729
"1384",1420748
"1385",2306165
"1386",4584916
"1387",2466087
"1388",1029056
"1389",5232428
"1390",5232423
"1391",2436566
"1392",1111797
"1393",1112018
"1394",9771130
"1395",5279755
"1396",5279751
"1397",4419245
"1398",2360551
"1399",5279103
"1400",1014409
"1401",1545138
"1402",1545172
"1403",3195749
"1404",9510763
"1405",5855356
"1406",2181910
"1407",1382104
"1408",2076260
"1409",4360023
"1410",2524993
"1411",7510386
"1412",7548918
"1413",4252828
"1414",2443133
"1415",9205012
"1416",5744378
"1417",1384723
"1418",1384909
"1419",1785181
"1420",1785185
"1421",1785145
"1422",1851337
"1423",4460066
"1424",4460057
"1425",4459831
"1426",4460185
"1427",5228033
"1428",5228034
"1429",8026254
"1430",2083463
"1431",8011666
"1432",5064140
"1433",5064187
"1434",5064167
"1435",3372864
"1436",3195298
"1437",2105457
"1438",1374148
"1439",1606124
"1440",9536238
"1441",2663133
"1442",5167566
"1443",5167758
"1444",1557713
"1445",1557728
"1446",1557720
"1447",1557705
"1448",8383011
"1449",2583057
"1450",2583088
"1451",2582976
"1452",7490259
"1453",2370771
"1454",2481915
"1455",2144543
"1456",4438441
"1457",1171838
"1458",2021062
"1459",2248916
"1460",2073667
"1461",2073320
"1462",2073431
"1463",2073291
"1464",2073214
"1465",2073362
"1466",2073544
"1467",2073287
"1468",2073464
"1469",2073690
"1470",2073520
"1471",2073347
"1472",2073323
"1473",2073560
"1474",2073469
"1475",2073206
"1476",2073401
"1477",2073366
"1478",2073587
"1479",2073440
"1480",2073494
"1481",2073345
"1482",10607859
"1483",5724275
"1484",3033991
"1485",2489057
"1486",5729364
"1487",6524257
"1488",2587755
"1489",4290047
"1490",2564494
"1491",2267186
"1492",2323843
"1493",1381201
"1494",1381168
"1495",3113414
"1496",3113784
"1497",3113777
"1498",3113239
"1499",3112801
"1500",1381011
"1501",2434634
"1502",5729863
"1503",4375452
"1504",3198548
"1505",2620615
"1506",2620521
"1507",4428304
"1508",4428312
"1509",5202683
"1510",5202793
"1511",1377230
"1512",4329474
"1513",9378152
"1514",1748202
"1515",8081031
"1516",7734180
"1517",5446523
"1518",9696951
"1519",9293058
"1520",3033558
"1521",4372695
"1522",4530608
"1523",5254468
"1524",1599411
"1525",4414705
"1526",1412393
"1527",1415826
"1528",5717425
"1529",5046769
"1530",4499302
"1531",4487598
"1532",5214533
"1533",5197206
"1534",5186040
"1535",5186058
"1536",1475022
"1537",7994366
"1538",2368222
"1539",1376477
"1540",1364249
"1541",1364376
"1542",1364389
"1543",1365059
"1544",1365055
"1545",1365013
"1546",1365086
"1547",1364834
"1548",1364976
"1549",1364911
"1550",1364838
"1551",1365087
"1552",1364938
"1553",1364962
"1554",1242435
"1555",1242384
"1556",5712981
"1557",8202676
"1558",5163301
"1559",5163248
"1560",5163369
"1561",2615904
"1562",2615950
"1563",2615916
"1564",7348337
"1565",7812596
"1566",5272096
"1567",5839323
"1568",5272185
"1569",8111748
"1570",8142643
"1571",1528043
"1572",5278525
"1573",5278375
"1574",1232229
"1575",8353808
"1576",5120767
"1577",5121010
"1578",5121029
"1579",2155867
"1580",2513916
"1581",9215031
"1582",1851409
"1583",4382675
"1584",9791464
"1585",2568796
"1586",8884140
"1587",8884140
"1588",2568773
"1589",2568828
"1590",8128632
"1591",5449325
"1592",5242106
"1593",5330776
"1594",2075808
"1595",2075813
"1596",2353152
"1597",3197970
"1598",5231817
"1599",2495414
"1600",2495471
"1601",2495455
"1602",2495891
"1603",2495869
"1604",2763941
"1605",2764202
"1606",1375555
"1607",1377352
"1608",1377362
"1609",2653941
"1610",8332178
"1611",1217275
"1612",1546012
"1613",5252608
"1614",4465226
"1615",3541105
"1616",3541446
"1617",2618723
"1618",2441105
"1619",2529986
"1620",2529960
"1621",6984492
"1622",6489949
"1623",9351339
"1624",1224312
"1625",5082263
"1626",5082244
"1627",5082160
"1628",5082199
"1629",5082091
"1630",5082067
"1631",8045637
"1632",5728241
"1633",5728300
"1634",5728171
"1635",2928390
"1636",1378485
"1637",1378607
"1638",4799716
"1639",1588315
"1640",1589683
"1641",7655466
"1642",4438493
"1643",4543457
"1644",2007381
"1645",2479297
"1646",6499342
"1647",2291865
"1648",5189032
"1649",8190231
"1650",1876941
"1651",4989746
"1652",6998096
"1653",2203165
"1654",2266009
"1655",2351027
"1656",2351006
"1657",2351128
"1658",2351119
"1659",2351219
"1660",2351211
"1661",2351222
"1662",2351174
"1663",2350989
"1664",2351196
