cells,avg_pi,median_pi,sd_pi,var_pi,richness,hill_1,hill_2,hill_3,hill_4,hill_5,hill_1_c,hill_2_c,hill_3_c,hill_4_c,hill_5_c,hill_1_r,hill_2_r,hill_3_r,hill_4_r,hill_5_r
293,0.00304664656770862,0.00162107396149949,0.00318282924087086,1.01304019765426e-05,53,32.5871201237151,25.5939234211881,22.0633024537626,32.5871201237151,32.5871201237151,0.614851323088964,0.482904215494115,0.41628872554269,0.378585481829241,0.354650836250016,6.32183098017196,5.18497218094678,4.79332233038704,4.47203314939953,4.19270284048376
294,0.00226398394604703,0.00121580547112462,0.00292075725049428,8.53082291631493e-06,962,489.44576816483,361.298500635796,292.938146263321,489.44576816483,489.44576816483,0.508779384786725,0.375570166981077,0.304509507550229,0.260643225619275,0.23065382598958,5.49506309070551,4.45320663096511,4.10984765394638,3.81914074099043,3.79832376304848
298,0.00333264358373957,0.00141843971631206,0.00377315311771898,1.42366844497525e-05,33,18.6965392989841,14.7125132343142,13.0028147570754,18.6965392989841,18.6965392989841,0.566561796938914,0.445833734373157,0.394024689608345,0.366545832046858,0.349619923303351,5.92012223555277,4.8532335232532,4.48685379808166,3.96494649213996,4.01690246432202
299,0.00270724859746568,0.00146167527354669,0.00330264363019437,1.09074549480634e-05,311,163.942936900214,125.229783428431,105.04228378068,163.942936900214,163.942936900214,0.527147707074642,0.402668113917784,0.337756539487716,0.298220724184728,0.271740871511398,5.45966440153627,4.67528172862578,4.1683524206052,3.87148759462465,3.88601129163116
300,0.00281494165069806,0.00127413157264019,0.0034433198741672,1.18564517558348e-05,67,33.3231223002205,27.0821100772073,24.0714783370197,33.3231223002205,33.3231223002205,0.497360034331649,0.404210598167274,0.359275796074922,0.332749406724644,0.315146342487237,5.31927551550712,4.5277108784837,3.86518912765313,4.03483464966882,3.57668325595463
358,0.00270247438796262,0.00182579642219077,0.00347178229902322,1.2053272331811e-05,13,6.67682575657713,5.15173825185139,4.4203878094455,6.67682575657713,6.67682575657713,0.513601981275164,0.396287557834722,0.340029831495808,0.309806727903445,0.291681769500466,5.67537878931054,4.46188232356465,4.12551749495423,3.91871718308548,3.68842095728824
363,0.00311997005971959,0.00143569895249723,0.0041410985684288,1.71486973534431e-05,285,144.111232078612,103.429060182574,82.4236318444098,144.111232078612,144.111232078612,0.505653445889865,0.362908983096751,0.289205725769859,0.24203281385149,0.209243652867689,5.76559712948055,4.73630071652728,3.94538398672877,3.77299937863569,3.38908414053049
365,0.00267124473401971,0.00133856053039974,0.00365580835169006,1.33649347042868e-05,289,139.601651490548,100.81888788995,82.552886262039,139.601651490548,139.601651490548,0.483050697199128,0.348854283356227,0.285650125474183,0.250245887275771,0.227251225403896,5.3389104537974,4.45369270339689,3.95018735130898,3.65418869093638,3.43598914656969
367,0.00507691369393386,0.00176998842454563,0.00874737172924512,7.65165121695969e-05,12,4.75768262458568,3.22473046971669,2.65897586701421,4.75768262458568,4.75768262458568,0.396473552048806,0.268727539143057,0.221581322251184,0.20125200775301,0.190813249123941,4.85161522534188,4.01566847910296,3.47288293939346,3.38472176530838,3.34639005089698
370,0.00320744998678118,0.00175582887649086,0.00402634652063569,1.62114663042351e-05,310,167.443000300175,120.588695659619,92.7624487714613,167.443000300175,167.443000300175,0.540138710645724,0.388995792450384,0.299233705714391,0.239782818958363,0.200902768170796,5.95359988441581,4.94640882660413,4.30147575376596,4.06438062743706,3.85630712285065
376,0.00309616288356074,0.00182741210973754,0.00340585649327274,1.15998584527681e-05,1877,1103.10336536322,849.54796678021,719.145477302671,1103.10336536322,1103.10336536322,0.587694920278754,0.452609465519558,0.383135576613037,0.341524630430613,0.313715167661403,6.19469946083139,5.18293829573346,4.43152038116588,4.16210956321198,3.88419513663557
386,0.00232818848263378,0.00111986327730106,0.00299057814488662,8.94355764067348e-06,347,179.626713965975,131.180638790459,106.668948373408,179.626713965975,179.626713965975,0.517656236213183,0.378042186716019,0.307403309433452,0.262856837027229,0.231098728982333,5.72401503165684,4.55686695478836,3.99202111174814,3.76196260899731,3.46460880203602
408,0.00159493172715032,0.000822929998097588,0.00230275337079534,5.30267308670931e-06,26,13.3596881657682,8.65406822194753,6.49035286295284,13.3596881657682,13.3596881657682,0.513834160221853,0.332848777767213,0.249628956267417,0.211538896280885,0.191787457610395,5.94729787795599,5.00677772408303,4.43589463606655,4.09129620047323,3.94203126866585
409,0.00281330106390442,0.00182370820668693,0.00303523070821549,9.21262545209433e-06,175,105.091336355228,81.1182910838838,68.2061873358273,105.091336355228,105.091336355228,0.600521922029874,0.463533091907907,0.389749641919013,0.346015312655245,0.317455294721685,6.30938071917719,5.34765586127598,4.84540649239132,4.38983976515091,4.12036922071647
410,0.00295248525924618,0.00174521527105114,0.00365293234410769,1.33439147106281e-05,198,111.612169929839,78.4770300380768,60.3640048506015,111.612169929839,111.612169929839,0.563697827928477,0.396348636555944,0.304868711366674,0.251615993042287,0.218349200855286,6.46831162664237,5.16660937269632,4.64580836001258,4.35590909150523,4.02196332319825
412,0.00331697796430885,0.00240571950940546,0.00336361705480965,1.13139196914063e-05,76,46.7935210155282,37.721078575497,32.8600963110153,46.7935210155282,46.7935210155282,0.615704223888529,0.496329981256539,0.432369688302833,0.392988191324696,0.366101813606821,6.48723828324662,5.48727884187406,4.84784201757475,4.5217787944121,4.45322260818002
413,0.00292786971654903,0.00106955266405438,0.00409168461722145,1.67418830068067e-05,46,22.7862014891356,15.8046427356244,13.0307225797966,22.7862014891356,22.7862014891356,0.495352206285555,0.343579189904879,0.283276577821666,0.251854341649922,0.232212358937889,5.79821377111006,4.35135622543859,3.89058458881825,3.53958639488396,3.5201032650658
414,0.00245883691290399,0.00101317122593718,0.00338446791654124,1.1454623078097e-05,115,53.5518829889335,39.9563364981687,33.6777024094293,53.5518829889335,53.5518829889335,0.465668547729857,0.347446404331901,0.29284958616895,0.262496702959227,0.243374575852331,5.1843251990941,4.15199289179204,3.85397090088225,3.62700545104217,3.26398577415018
480,0.0025765101448634,0.00122466542453005,0.00349859184844009,1.22401449219715e-05,318,157.523072521784,112.049155667804,89.80493765784,157.523072521784,157.523072521784,0.495355573967873,0.352355835433344,0.28240546433283,0.242193023701253,0.216317296009379,5.5391640340882,4.30464216945885,3.89956317201927,3.95017274797061,3.51601421417561
